tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,240.0,85.41666666666667,78.33333333333333,100.0,97.91666666666667,100.0,75.28087937048046,74.23084341304039,74.65446308579355,68.72340425531915,87.1574074074074,76.85002329475851,89.41502463054188,92.02175697865354,80.80665024630542,91.99626865671642,77.96849087893865,75.46204620462046,72.43399339933993,92.16748768472907,3.3508771929824563,72.58403361344538,76.47058823529412,97.8021978021978,94.67455621301775,91.71597633136095,96.81528662420382,66.09219858156028,80.05714285714286,91.89602446483181,93.45493562231759,35.744680851063826,57.71477663230241,2.1958333333333333,85.37800687285224,30.403780068728526,60.249140893470795,54.82817869415808,66.90474804680251,66.09219858156028,84.24641101975078,10.032676661107441,84.89278752436648,88.24811943616945,74.53379953379954,64.61215932914047,2.1958333333333333,60.249140893470795,84.16666666666667,97.24801587301587,98.53658536585365,98.40425531914893,97.34042553191489,97.91666666666667,94.8936170212766,98.33333333333333,95.49549549549549,74.86772486772487,68.78306878306879,80.95238095238095,66.28352490421456,68.53535353535354,25.0,17.05189735893409,287.225,385.2916666666667
PERIURBAN,General,43.0,90.69767441860465,86.04651162790698,100.0,100.0,100.0,76.73703205171228,77.05502938061078,75.09701667841203,70.96491228070175,86.85185185185185,78.18982329398996,90.48076923076923,93.5576923076923,86.77350427350427,94.63815789473684,79.51754385964912,71.96581196581197,73.24786324786325,89.74358974358974,5.0,69.18604651162791,69.76744186046511,100.0,100.0,100.0,96.0,74.45736434108528,88.61111111111111,93.57142857142857,93.95348837209302,43.25581395348837,63.88095238095239,2.046511627906977,95.42857142857143,42.0,64.0,54.095238095238095,70.96830820872889,74.45736434108528,82.87003399664052,8.771927357179099,88.04597701149426,86.8776659957281,78.01587301587301,73.83333333333333,2.046511627906977,64.0,84.88372093023256,99.00332225913621,100.0,100.0,100.0,97.67441860465117,97.67441860465117,100.0,97.5609756097561,70.73170731707317,60.97560975609756,80.48780487804878,73.18925691018714,73.6331569664903,54.54545454545455,10.288327068951913,197.06976744186048,374.7906976744186
PRIMARY,General,57.0,56.14035087719298,45.6140350877193,100.0,100.0,100.0,75.28258795501121,70.77539452100855,70.11958874458874,67.36842105263158,94.6,79.29844232253086,93.17708333333333,91.27604166666667,82.10069444444444,93.55902777777777,76.44965277777779,76.5625,78.4375,94.09722222222223,5.681818181818182,74.69696969696969,80.0,100.0,90.47619047619048,90.2439024390244,95.1219512195122,57.280701754385966,78.18181818181819,89.62962962962962,93.39285714285714,20.350877192982455,53.93867924528302,2.192982456140351,83.58490566037736,25.220125786163525,57.10691823899371,49.84276729559748,62.56475256547483,57.280701754385966,84.10291281020132,10.759838563760134,81.5,86.52301578338889,73.18840579710145,58.75,2.192982456140351,57.10691823899371,82.74853801169591,95.34670008354219,96.875,100.0,88.46153846153847,98.24561403508773,91.2280701754386,98.24561403508773,92.0,67.3076923076923,61.53846153846154,73.07692307692308,37.414965986394556,41.44144144144144,25.0,19.097428103528,237.59649122807016,371.89473684210526
PRIMARY,PERIURBAN,3.0,33.333333333333336,33.333333333333336,100.0,100.0,100.0,74.92592592592592,74.66666666666667,72.66666666666667,70.0,100.0,75.18518518518518,89.16666666666667,80.83333333333333,86.66666666666667,93.33333333333333,80.0,60.0,73.33333333333333,86.66666666666667,0.0,33.333333333333336,33.333333333333336,100.0,100.0,100.0,100.0,73.33333333333333,100.0,100.0,100.0,20.0,53.888888888888886,3.3333333333333335,100.0,40.0,40.0,35.55555555555556,78.08311475793066,73.33333333333333,85.71428571428572,9.214285714285715,100.0,93.88316151202748,100.0,80.0,3.3333333333333335,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.280583613916946,48.14814814814815,54.54545454545455,20.833333333333336,34.333333333333336,334.6666666666667
PRIMARY,RURAL,41.0,56.09756097560975,46.34146341463415,100.0,100.0,100.0,74.86549681404864,70.03204022716218,70.80782828282828,63.125,93.61111111111111,78.9363994295635,94.6875,92.7734375,81.25,93.515625,78.0078125,74.84375,77.96875,93.95833333333333,5.0,76.875,82.5,100.0,90.3225806451613,90.0,93.54838709677419,58.08943089430895,83.63636363636364,90.76923076923077,93.75,19.51219512195122,49.28728070175439,2.1707317073170733,78.85964912280701,22.36842105263158,55.0,40.921052631578945,61.349686026028984,58.08943089430895,79.61339985659914,11.515921515921516,82.14285714285714,84.98496923233965,71.5686274509804,50.76923076923077,2.1707317073170733,55.0,83.739837398374,97.27061556329849,100.0,100.0,89.47368421052632,100.0,92.6829268292683,100.0,94.28571428571429,63.888888888888886,55.55555555555556,72.22222222222223,38.51257674787087,44.74074074074074,21.212121212121215,17.393556376515825,287.6829268292683,369.0975609756098
PRIMARY,URBAN,13.0,61.53846153846154,46.15384615384615,100.0,100.0,100.0,76.68033586783586,72.22183372183372,67.41414141414141,100.0,96.66666666666667,81.13883801383803,90.38461538461539,90.0,83.14102564102564,93.71794871794872,71.7948717948718,84.61538461538461,80.76923076923077,96.15384615384616,8.333333333333334,77.77777777777779,83.33333333333333,100.0,90.0,90.0,100.0,51.02564102564103,47.5,83.33333333333333,90.76923076923077,23.076923076923077,68.68055555555556,2.0,94.44444444444444,30.555555555555557,68.05555555555556,81.66666666666667,62.81572499162196,51.02564102564103,96.92876344086022,8.686174936174936,76.0,89.39052568325981,73.33333333333334,100.0,2.0,68.05555555555556,75.64102564102565,88.2051282051282,87.5,100.0,83.33333333333333,92.3076923076923,84.61538461538461,92.3076923076923,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,31.08866442199776,31.851851851851855,27.272727272727273,24.201034908866234,126.53846153846153,389.3076923076923
RURAL,General,94.0,75.53191489361703,68.08510638297872,100.0,98.93617021276596,100.0,74.13536130806743,70.29722306849968,70.90465090465091,58.99470899470899,87.41525423728814,78.16165495852997,93.10810810810811,93.58671171171171,81.1204954954955,92.57882882882882,77.86036036036036,74.29223744292237,72.05479452054794,95.4054054054054,2.9411764705882355,76.16487455197132,80.64516129032258,98.66666666666667,92.6470588235294,89.85507246376811,96.96969696969697,61.55913978494624,80.19736842105263,92.96296296296296,93.62637362637362,27.096774193548388,50.22970085470085,2.0531914893617023,82.00854700854701,25.042735042735043,50.2991452991453,43.56837606837607,63.64704359696597,61.55913978494624,80.83265535497466,10.624186018187789,84.91379310344827,89.99484449761478,65.79710144927536,54.353741496598644,2.0531914893617023,50.2991452991453,84.21985815602837,97.26443768996961,98.59154929577464,98.41269841269842,93.75,98.93617021276596,94.6236559139785,100.0,93.97590361445783,65.2542372881356,57.6271186440678,72.88135593220339,53.91849529780564,57.69230769230769,21.212121212121215,20.89617874439393,283.5531914893617,386.06382978723406
SECONDARY,General,160.0,93.75,87.5,100.0,97.5,100.0,75.10031294594505,74.95546205688251,75.46072553491909,68.76712328767124,85.96491228070175,76.22767857142857,88.72474747474747,93.09027777777777,80.87121212121212,91.47582697201018,77.85576923076923,73.54961832061069,69.26208651399492,92.42424242424242,2.3983739837398375,70.20833333333334,73.75,96.61016949152543,95.45454545454545,92.72727272727273,97.05882352941177,68.60042735042735,79.23076923076923,91.81434599156118,92.93548387096774,40.64102564102564,58.53666666666666,2.1125,85.06666666666668,30.89333333333333,62.06666666666666,56.12,68.43405625032754,68.60042735042735,83.644930490336,8.576377012212232,87.50750750750751,89.2036196009265,73.93939393939394,67.04301075268818,2.1125,62.06666666666666,85.10416666666666,97.79761904761905,99.33333333333333,97.94520547945206,98.57142857142857,98.125,95.51282051282051,98.75,96.0,75.88652482269504,69.50354609929079,82.26950354609929,71.99074074074073,71.99074074074073,,15.33368375640864,292.13125,410.65625
SECONDARY,PERIURBAN,40.0,95.0,90.0,100.0,100.0,100.0,76.87286501114626,77.23415658415658,75.27929292929294,70.99099099099098,86.47619047619047,78.44020980305703,90.59027777777777,94.61805555555556,86.7824074074074,94.75,79.47619047619047,72.96296296296296,73.24074074074073,90.0,5.303030303030303,71.875,72.5,100.0,100.0,100.0,95.83333333333333,74.54166666666667,87.57575757575758,93.25,93.5,45.0,64.81770833333333,1.95,95.0,42.1875,66.25,55.833333333333336,70.43469771753874,74.54166666666667,82.69226826428769,8.744279959859934,87.1604938271605,86.25953403840755,76.91666666666666,73.62068965517241,1.95,66.25,83.75,98.92857142857143,100.0,100.0,100.0,97.5,97.5,100.0,97.36842105263158,71.7948717948718,61.53846153846154,82.05128205128206,74.9074074074074,74.9074074074074,,9.4447265678014,209.275,377.8
SECONDARY,RURAL,52.0,90.38461538461539,84.61538461538461,100.0,98.07692307692308,100.0,74.03236611589976,71.25561511138434,71.52020202020202,58.84057971014492,85.5625,77.8102416440831,91.70731707317073,94.0650406504065,80.68089430894308,91.78861788617887,77.20528455284553,75.70833333333334,68.625,96.42276422764228,1.3513513513513513,75.16025641025641,78.84615384615384,97.5609756097561,94.44444444444444,89.47368421052632,100.0,64.2483660130719,77.02380952380952,94.20289855072463,93.4,33.72549019607843,51.36752136752136,1.9423076923076923,84.61538461538461,28.29059829059829,47.008547008547005,45.55555555555556,65.07983918681308,64.2483660130719,81.98600515073528,9.77818054597887,87.5,94.5631012108999,62.41379310344828,55.648148148148145,1.9423076923076923,47.008547008547005,84.2948717948718,97.20695970695971,97.87234042553192,97.82608695652173,95.45454545454545,98.07692307692308,96.07843137254902,100.0,93.61702127659575,65.0,57.5,72.5,63.1054131054131,63.1054131054131,,24.507932302756007,279.46153846153845,406.86538461538464
